id,name,type,visible,gender,password,password_tip,rating,reviews,location_type,address,road_address,location_tip,city,longitude,latitude,modified_at,created_at,paper,towel,soap,powder_room,hand_dry,vending,diaper,bell,mon,tue,wed,thu,fri,sat,sun,urinal,child_urinal,disable_urinal,seat,child_seat,disable_seat,washbasin
11,홍은종합사회복지관,0,True,True,False,,0,0,기타,서울 서대문구 홍은동 48-20,서울 서대문구 세검정로1길 116,,서울특별시,126.946431001956,37.5953941277006,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,True,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 3, 6]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
12,정릉천(제기1교),0,True,True,False,,0,0,공공용시설,서울 동대문구 제기동 135-126,서울 동대문구 약령시로9길 78,,서울특별시,127.036034286778,37.5862327375301,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 3]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
13,불암주유소 개방화장실,0,True,True,False,,0,0,공공용시설,서울 노원구 중계동 366-8,서울 노원구 한글비석로 268,,서울특별시,127.077325621232,37.6513310786557,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
14,장안종합사회복지관,0,True,True,False,,0,0,공공용시설,서울 동대문구 장안동 395-2,서울 동대문구 한천로18길 48,,서울특별시,127.066170728513,37.5679514930411,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 1, 0]","[0, 0, 0]","[0, 1, 0]","[0, 1, 2]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
15,도곡근린공원화장실,0,True,True,False,,0,0,공공용시설,서울 강남구 도곡동 산 179-3,,,서울특별시,127.043769127331,37.4909825135267,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
16,홍남교2 공중화장실,0,True,True,False,,0,0,공공용시설,서울 서대문구 남가좌동 79-1,,,서울특별시,126.924971615494,37.5747445639101,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,False,"{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
17,대치풍림빌딩,0,True,True,False,,0,0,기타,서울 강남구 대치동 507-1,서울 강남구 남부순환로 2942,,서울특별시,127.062321346803,37.4936457600425,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '05:30', 'close': '23:59'}","{'open': '05:30', 'close': '23:59'}","{'open': '05:30', 'close': '23:59'}","{'open': '05:30', 'close': '23:59'}","{'open': '05:30', 'close': '23:59'}","{'open': '05:30', 'close': '23:59'}","{'open': '05:30', 'close': '23:59'}","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 7, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
18,좌안파크골프장,0,True,True,False,,0,0,공공용시설,서울 구로구 고척동 60-1,서울 구로구 안양천로 642,,서울특별시,126.870805387086,37.504289647026,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 4]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]"
19,중계1동 주민센터 공중화장실(2층),0,True,True,False,,0,0,공공용시설,서울 노원구 중계동 359-5,서울 노원구 한글비석로 279,,서울특별시,127.077475786265,37.652548027516,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
20,세운스퀘어(라이프관1층),0,True,True,False,,0,0,상업시설,서울 종로구 인의동 112-2,서울 종로구 창경궁로 109,,서울특별시,126.997086146344,37.5723490188717,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 3]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
21,암사2동주민센터,0,True,True,False,,0,0,공공용시설,서울 강동구 암사동 503-8,서울 강동구 상암로3길 28,,서울특별시,127.127270860056,37.5517062961965,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,True,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 2]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]"
22,서울대입구역(2),0,True,True,False,,0,0,교통시설,서울 관악구 봉천동 979-2,서울 관악구 남부순환로 지하 1822,,서울특별시,126.952645104944,37.4811526631844,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,True,"{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","[0, 4, 0]","[0, 1, 0]","[0, 0, 0]","[0, 4, 8]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
23,경원빌딩,0,True,True,False,,0,0,기타,서울 동대문구 답십리동 496-4,서울 동대문구 천호대로 273,,서울특별시,127.052048442916,37.5678368392544,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '06:00', 'close': '21:00'}","{'open': '06:00', 'close': '21:00'}","{'open': '06:00', 'close': '21:00'}","{'open': '06:00', 'close': '21:00'}","{'open': '06:00', 'close': '21:00'}","{'open': '06:00', 'close': '21:00'}","{'open': '06:00', 'close': '21:00'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
24,강남터미널 지하상가 공중화장실,0,True,True,False,,0,0,상업시설,서울 서초구 잠원동 68-17,서울 서초구 신반포로 지하 200,,서울특별시,127.005051680109,37.5062203134857,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': '10:00', 'close': '22:00'}","{'open': '10:00', 'close': '22:00'}","{'open': '10:00', 'close': '22:00'}","{'open': '10:00', 'close': '22:00'}","{'open': '10:00', 'close': '22:00'}","{'open': '10:00', 'close': '22:00'}","{'open': '10:00', 'close': '22:00'}","[0, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 4, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
25,고용노동부 관악지청 지하 1층,0,True,True,False,,0,0,공공용시설,서울 구로구 구로동 222-30,서울 구로구 디지털로32길 42,,서울특별시,126.897276668358,37.483382994399,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
26,답십리공원 발효식,0,True,True,False,,0,0,공공용시설,서울 동대문구 답십리동 산 2-9,서울 동대문구 답십리로 209,,서울특별시,127.063817174774,37.573320107089,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
27,늘사랑교회,0,True,True,False,,0,0,기타,서울 강남구 논현동 22,서울 강남구 강남대로146길 28,,서울특별시,127.023030453954,37.5150254952533,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 8, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
28,성북노인종합복지관,0,True,True,False,,0,0,공공용시설,서울 성북구 종암동 66-14,서울 성북구 종암로15길 10,,서울특별시,127.034410146217,37.597790246658,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
29,광진구보건소,0,True,True,False,,0,0,공공용시설,서울 광진구 자양동 777,서울 광진구 자양로 117,,서울특별시,127.081909826352,37.5385316143438,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","[0, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 3, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
30,번1동주민센터 화장실,0,True,True,False,,0,0,공공용시설,서울 강북구 번동 460-16,서울 강북구 한천로 996,,서울특별시,127.030583121227,37.6377612035985,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,False,"{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","[0, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 4, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
31,진주상가 화장실,0,True,True,False,,0,0,상업시설,서울 영등포구 여의도동 54-2,서울 영등포구 여의대방로 386,,서울특별시,126.931943269754,37.5188979456571,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","[0, 2, 0]","[0, 0, 0]","[0, 1, 0]","[0, 2, 2]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]"
32,강북메디컬센터 개방화장실,0,True,True,False,,0,0,기타,서울 강북구 미아동 121-24,서울 강북구 도봉로 190,,서울특별시,127.027000082119,37.6258982556346,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '09:00', 'close': '19:30'}","{'open': '09:00', 'close': '19:30'}","{'open': '09:00', 'close': '19:30'}","{'open': '09:00', 'close': '19:30'}","{'open': '09:00', 'close': '19:30'}","{'open': '09:00', 'close': '19:30'}","{'open': '09:00', 'close': '19:30'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
33,옛맛명동칼국수 건물,0,True,False,False,,,,,서울 강남구 역삼동 836-67,서울특별시 강남구 강남대로62길 35,,,127.03436102662043,37.49109194329877,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 0]","[0, 0, 0]","[0, 1, 1]","[1, 1, 1]"
34,로우폴리스(개방화장실),0,True,True,False,,0,0,공공용시설,서울 노원구 공릉동 670-11,서울 노원구 화랑로 449-7,,서울특별시,127.076878936299,37.6186882241185,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
35,장군봉체육관,0,True,True,False,,0,0,관광·체육시설,서울 관악구 신림동 산 170-130,서울 관악구 남부순환로194길 81-12,,서울특별시,126.934770648085,37.4814669786738,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '06:00', 'close': '20:00'}","{'open': '06:00', 'close': '20:00'}","{'open': '06:00', 'close': '20:00'}","{'open': '06:00', 'close': '20:00'}","{'open': '06:00', 'close': '20:00'}","{'open': '06:00', 'close': '20:00'}","{'open': '06:00', 'close': '20:00'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
36,고척프라자1층,0,True,True,False,,0,0,상업시설,서울 구로구 고척동 50-48,서울 구로구 중앙로10길 7,,서울특별시,126.862614065124,37.5034895022417,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 3, 0]","[0, 0, 0]","[0, 1, 0]","[0, 2, 3]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
37,맛찬들왕소금구이,0,True,True,False,,0,0,상업시설,서울 송파구 가락동 75-17,서울 송파구 송이로20길 8,,서울특별시,127.120655606875,37.4962585542512,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '영업시간 내', 'close': '영업시간 내'}","{'open': '영업시간 내', 'close': '영업시간 내'}","{'open': '영업시간 내', 'close': '영업시간 내'}","{'open': '영업시간 내', 'close': '영업시간 내'}","{'open': '영업시간 내', 'close': '영업시간 내'}","{'open': '영업시간 내', 'close': '영업시간 내'}","{'open': '영업시간 내', 'close': '영업시간 내'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
38,경희궁의아침 4단지(생활지원센터),0,True,True,False,,0,0,상업시설,서울 종로구 내수동 73,서울 종로구 새문안로3길 23,,서울특별시,126.972440824541,37.5726308227784,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 2]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
39,강북소방서 앞 공중화장실,0,True,True,False,,0,0,기타,서울 강북구 번동 398,서울 강북구 한천로 914,,서울특별시,127.038118557336,37.6339519864318,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,True,"{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
40,고속터미널역 공중화장실,0,True,True,False,,0,0,교통시설,서울 서초구 반포동 19-11,서울 서초구 신반포로 지하 188,,서울특별시,127.004949918697,37.5049267445237,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,True,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 5, 0]","[0, 0, 0]","[0, 0, 0]","[0, 3, 7]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]"
41,쌍용(아)종합 상가,0,True,True,False,,0,0,기타,서울 강남구 대치동 66,서울 강남구 영동대로 210,,서울특별시,127.071367051995,37.4988556676427,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '05:00', 'close': '11:00'}","{'open': '05:00', 'close': '11:00'}","{'open': '05:00', 'close': '11:00'}","{'open': '05:00', 'close': '11:00'}","{'open': '05:00', 'close': '11:00'}","{'open': '05:00', 'close': '11:00'}","{'open': '05:00', 'close': '11:00'}","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
42,관악문화도서관,0,True,True,False,,0,0,공공용시설,서울 관악구 신림동 209-1,서울 관악구 신림로3길 35,,서울특별시,126.944962394132,37.4675533645757,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '07:00', 'close': '23:00'}","{'open': '07:00', 'close': '23:00'}","{'open': '07:00', 'close': '23:00'}","{'open': '07:00', 'close': '23:00'}","{'open': '07:00', 'close': '23:00'}","{'open': '07:00', 'close': '23:00'}","{'open': '07:00', 'close': '23:00'}","[0, 48, 0]","[0, 0, 0]","[0, 0, 0]","[0, 28, 41]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
43,배봉산 숲속도서관,0,True,True,False,,0,0,공공용시설,서울 동대문구 전농동 산 32-20,서울 동대문구 한천로43길 12-14,,서울특별시,127.067594333995,37.5812122452058,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 4, 0]","[0, 0, 0]","[0, 0, 0]","[0, 3, 8]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
